UserAddress,deposit_cWEMIX,deposit_cWEMIX$,deposit_cstWEMIX,loan_cWEMIX,loan_cWEMIX$,loan_cstWEMIX
0x761AD053dEe88C0BCe44E963F46B48B805488812,0.00031045502654751,0,0,0,0,0
0x83933C3E9323a94B10C798302607338522FF1932,0.000310451200573622,0,0,0,0,0
0x1779125BbaD17E0fa2022D4Cb33aB5D19Dd052Ee,0.000310451603307716,0,0,0,0,0
0x1928350c6D39b34b280A11D312918CB1BF49fd2F,0.00031045502654751,0,0,0,0,0
0x773CA904fab2dA98b2f4f2BE3f82800B05d8aB86,0.500072541311659849,0,0,0,0,0
0x581115a983b1351B69c20a439aE3aA0984E5FDb2,0.000310454623813417,0,0,0,0,0
0xDE8274907A4A1421794189Fd6a75BF901fE99837,0,0,0.000044378676589033,0,0,0
0xCD1B427c76812bD3a7990FCa4dAd2b7Bc855afF5,0.00031045502654751,0,0,0,0,0
0xbfCF87034DadE2186F74b41BfE8633510117EAaf,0.00031045502654751,0,0,0,0,0
0x05175DC367fde3736BdD49e00E84CdB0915dEA79,0.000310491071248878,0,0,0,0,0
0x2CF33235633d85055845952732f18453bb350822,0.01005493907689975,0,0,0,0,0
0xcAc4Ce7e995603B423362E99A86dca64Da7c8E0A,0.000310451603307716,0,0,0,0,0
0x15ad1995D17847e08cC2f6F73c6BB31fF34AcD34,0.00031045502654751,0,0,0,0,0
0x4cb6bD867EBe2166a197476f700Dc71e792f0C5d,0.000015522781532432,0,0,0,0,0
0xF036353706b7A221051908E72e3E428fE13833bE,0.000310454623813417,0,0,0,0,0
0x577cDe99c221724FC827e31f28cB09e532859bAE,0.000310454623813417,0,0,0,0,0
0xb6da90350a98fa471D2E4e9bE6a212d41B865918,0.000310454623813417,0,0,0,0,0
0xC74a5c5545FEC84d7bdF5Bfd95c814b90036d3E0,0.000310454623813417,0,0,0,0,0
0x9BbE13aB5db690908540741ea212F3Ad7659a424,0.000310458248420258,0,0,0,0,0
0x7977f7c1d3B221f82ef217B66098dFE73e1146a6,0.00031045502654751,0,0,0,0,0
0x39206876aD27383Bcd1586b9521f0B79F0E20b0B,0.000310454623813417,0,0,0,0,0
0xAcFC96893C899fa598c7b6A942745e236950a5F3,0.000310454623813417,0,0,0,0,0
0x705091c9b754C6fEe8B670C1684f7FD13644214f,0.000310450999206576,0,0,0,0,0
0xDBd29758D322C2574297b386AA26E7551970C963,0.000310454623813417,0,0,0,0,0
0xE7C049B7674350a182DCe1Df0e33A4b24C3CA760,0.00031045502654751,0,0,0,0,0
0x147c8D2DD62bee801BDD71E778B678b89FE6d1d7,0.000310450797839529,0,0,0,0,0
0xf002dE6C2E0d2960D26598d0c63B04CDF06cFd38,0.00031045502654751,0,0,0,0,0
0x1d63EC4cA80f074D468C6357B64cc4076acaEA54,0.000310451200573622,0,0,0,0,0
0x0051715E3a07bfD3c0E13673334958b6E0a93aa1,0.00031045502654751,0,0,0,0,0
0x1Cd5a682c4770377156615Be4B6927E53EddF53e,0.000310451200573622,0,0,0,0,0
0x26AAC3AED251f507438A448f700f9015a62ee153,0.00031045502654751,0,0,0,0,0
0x1Ce61e39CD4423163187B2F6c2b532F65a02dA03,0.00031045502654751,0,0,0,0,0
0x1E618206f2FC031976eA9F5045c457bC5A7e61a2,0.00031045502654751,0,0,0,0,0
0x13bd0aE78c93993A788B8560686d3C421EeB64F2,0.000310451603307716,0,0,0,0,0
0x973997b33292A914267fCb43CBd1c46cC3F7e0c7,0.000310450999206576,0,0,0,0,0
0xdF7ACC9723532b14C9fd97dE23401dc3614053e4,0.000310454623813417,0,0,0,0,0
0x2356Cf38494849Bee62e239eE093e9B6F6DB814c,0.000310454623813417,0,0,0,0,0
0xf1A6C762F69aBE370bD7011c871189E4be0b99EC,1.006835233523681145,0.675695399340395662,0,0,0,0
0x26ab4143366a9D04FA4F3d6E499591D3B4D7a026,0.00031045502654751,0,0,0,0,0
0x661663361fa6e60F2Fbd05190F6048385409Dd27,0.000310454623813417,0,0,0,0,0
0xF8565d05c1799119F6529184c9828F4c8F217F88,0.000310454623813417,0,0,0,0,0
0xf2a6D9500E73465f1C41e97a0924547BB450a286,0.00031045502654751,0,0,0,0,0
0xDA6A8b8e5FFEf1520E13828F25Aec9eDD8ff730E,0.000310451603307716,0,0,0,0,0
0xc4aa10F3bCbf3895e3f6983EA18c54f15388E231,0.00031045502654751,0,0,0,0,0
0xF06Bf16D557D581a276286Bd7C5B7B3a800FEc83,0.000310454623813417,0,0,0,0,0
0xaABA17e7f9ED27e398e4355b10f01d6a1FcFdFf5,0.000310454623813417,0,0,0,0,0
0x3Ad04C24c6dbA4187CB91cD8a2A20BaA0c53a42a,0.000310451200573622,0,0,0,0,0
0x80A5d0735F7472D411879c6B93D5bE9f044D2846,0.000310454623813417,0,0,0,0,0
0x9F7cC8c0F611Cd68009d1e44B00d7301BD32DDAb,0.000310454623813417,0,0,0,0,0
0x78Dd1f7a5519Af51C456845860D30F05035163fd,0.000310451603307716,0,0,0,0,0
0xeC0412CF3bBCDF7D7E438141524ED6F52F4fACF7,0.00031045502654751,0,0,0,0,0
0x334c74aa850610DF163598Af944A69B445874773,0.00031045502654751,0,0,0,0,0
0x19043aa091dDa3A2a83F8fa741A20785C281cc24,0.00031045502654751,0,0,0,0,0
0xB6e06714A8c4680d627387897fe4cA39C705F72C,0.00031045502654751,0,0,0,0,0
0x23AF4eB1827dd3a4308D6c1ebF2132eA6a557bF8,0.000310454623813417,0,0,0,0,0
0x96C9897aD6D385Ae18340A61A762569f4CdeC740,0.00031045502654751,0,0,0,0,0
0x2A2914525D5e77963BB17F5afD57F3599f78Ab09,0.00031045502654751,0,0,0,0,0
0xDd203782bA9c5669B3F4620D9D18436098FEdb85,0.000310451603307716,0,0,0,0,0
0x357bDfd00B828f659c7Ae38320c2ceFAe8DB5978,0.000310454623813417,0,0,0,0,0
0x006217EB6552C8E062605C82260B1c53d90D1ace,0.000310451200573622,0,0,0,0,0
0xC6CaA9E9a08B95c0C7188B1de94425Bdd4c1CD94,0.000310451200573622,0,0,0,0,0
0xef8f9b70725B571A253d8bCA1752a1784e220289,0.000310451603307716,0,0,0,0,0
0x539712F7A078b8c3bd5A1F148CF60994BD268C4F,0.00031045502654751,0,0,0,0,0
0xa0a6A00E0C02A937F962CC90b48Bd6C7868efC62,0.000310454623813417,0,0,0,0,0
0x300AcC6042C6496d5E96c4fb94718E52a5EBee46,0.000310451200573622,0,0,0,0,0
0x92cB456Af91219916A1b1009B0b99E025aae40F9,0.000310451603307716,0,0,0,0,0
0x056e9eC0e6498Aa0beC43EF5a27c61b0BC0a51EF,0.00031045502654751,0,0,0,0,0
0x07D9be0Bd2201520630DC88B71Ca0A73b04471ef,0.00031045502654751,0,0,0,0,0
0x22C45cB6DEB4ea2d2C8106B43C7d6aF397eF2186,0.00031045502654751,0,0,0,0,0
0x7E25a2692716c573247318924575A7b17DB69412,0.00031045502654751,0,0,0,0,0
0x9e21059F694942EEe5534E13E90A5839071079B2,0.00031045502654751,0,0,0,0,0
0x968De2F25B9960358015Fcfe71ef8b078C9784d2,0.00031045502654751,0,0,0,0,0
0xE33644082FfEe002DC2cB4BaaCD71DD382e12b49,0.000310454623813417,0,0,0,0,0
0xcec4F655dC58591D83FB17e5aB0987D08FF02C57,0.00031045502654751,0,0,0,0,0
0x4488f793b58257a53ECbB094986C41C35433b657,0.000310454623813417,0,0,0,0,0
0xF5aB5c120AAa5c4069bfb0CA48abBf28615fdc2E,0.00031045502654751,0,0,0,0,0
0x9C6d36052eEaB0FF7F2cc68D254ab46Ea53d348A,0.000310454623813417,0,0,0,0,0
0xcd1281d5Ac886778E40136b43660B23189A53D01,0.000310451603307716,0,0,0,0,0
0x0d951C245C50042a11BdAAa5931d21e33B4E28E3,0.00031045502654751,0,0,0,0,0
0xc7663dFaCDC0F70e949Bb21941B56691BC994858,0.00031045502654751,0,0,0,0,0
0xc0bE23C314BD0EC26690b19Ba790484c56c96038,0.000310450797839529,0,0,0,0,0
0xe8dA0D3150Fe85777466fF9781d764aA7B93E421,0.00031045502654751,0,0,0,0,0
0x5711099538C09B28af60596d4A1CecEA2EF5611f,0.000310454623813417,0,0,0,0,0
